Episode,Reward,Steps,,,
688,-65.66089525,1600,,,
689,-74.57979346,1600,,,
690,-29.7346419,474,,,
691,-15.71634227,234,,,
692,-80.25626129,1600,,,
693,-66.7953362,1600,,,
694,-71.16013596,1600,,,
695,-72.42601269,1600,,,
696,-73.81959,1600,,,
697,-73.64415236,1600,,,
698,-68.23967501,1600,,,
699,-74.60767541,1600,,,
700,-75.95237138,1432,,,
701,-73.60044393,1600,,,
702,-75.30040586,1600,,,
703,-20.79340272,318,,,
704,-68.44455332,1600,,,
705,-75.08962426,1600,,,
706,-80.44028982,1600,,,
707,-71.11833285,1600,,,
708,-69.12411332,1600,,,
709,-70.38015946,1600,,,
710,-75.25980899,1600,,,
711,-80.12512295,1600,,,
712,-67.96781415,1600,,,
713,-70.60111807,1600,,,
714,-77.23507831,1600,,,
715,-74.5729749,1600,,,
716,-85.43932878,1600,,,
717,-78.17004048,1600,,,
718,-69.77948799,1600,,,
719,-78.00899324,1600,,,
720,-82.87273442,1600,,,
721,-76.07254445,1600,,,
722,-73.22730355,1600,,,
723,-70.36287902,1600,,,
724,-79.65302003,1600,,,
725,-14.57064021,236,,,
726,-13.07040311,236,,,
727,-80.63078693,1600,,,
728,-68.32889104,1600,,,
729,-14.94354603,242,,,
730,-71.75528725,1600,,,
731,-70.95211487,1600,,,
732,-67.39888197,1600,,,
733,-76.3461608,1600,,,
734,-72.3059631,1547,,,
735,-69.14295183,1600,,,
736,-71.42988789,1600,,,
737,-69.81402127,1600,,,
738,-80.23163917,1600,,,
739,-75.97773417,1600,,,
740,-63.81675513,1600,,,
741,-64.39568662,1600,,,
742,-66.34221418,1600,,,
743,-69.92824961,1600,,,
744,-47.56254425,879,,,
745,-67.89684223,1600,,,
746,-69.49747181,1600,,,
747,-69.38696362,1600,,,
748,-68.77669909,1600,,,
749,-82.77286976,1600,,,
750,-13.64585952,238,,,
751,-79.07871006,1600,,,
752,-15.53811726,233,,,
753,-68.14955066,1600,,,
754,-54.10018413,955,,,
755,-17.67785174,320,,,
756,-70.23227547,1600,,,
757,-69.106588,1600,,,
758,-71.8765889,1600,,,
759,-73.77636198,1600,,,
760,-70.76742733,1600,,,
761,-68.208638,1600,,,
762,-77.82880367,1600,,,
763,-78.12600584,1600,,,
764,-65.48331392,1600,,,
765,-66.07882242,1600,,,
766,-75.97825313,1600,,,
767,-70.01267241,1600,,,
768,-14.27801634,241,,,
769,-14.35262942,240,,,
770,-66.66690447,1600,,,
771,-65.32531546,1600,,,
772,-77.40749377,1600,,,
773,-74.40180776,1600,,,
774,-15.71847129,241,,,
775,-74.16937466,1600,,,
776,-62.10953367,1600,,,
777,-59.5399892,952,,,
778,-73.90868901,1600,,,
779,-74.33276528,1600,,,
780,-73.14965762,1600,,,
781,-72.2198871,1600,,,
782,-13.34068291,233,,,
783,-72.79095408,1600,,,
784,-77.02420472,1600,,,
785,-74.64270369,1600,,,
786,-69.33601499,1600,,,
787,-71.1572194,1600,,,
788,-72.21530872,1600,,,
789,-79.22423607,1600,,,
790,-79.81851938,1600,,,
791,-13.05052684,288,,,
792,-68.53847107,1600,,,
793,-70.80024126,1600,,,
794,-16.47875015,317,,,
795,-14.19149022,238,,,
796,-73.6521241,1600,,,
797,-13.71698446,238,,,
798,-70.87072667,1600,,,
799,-77.97202533,1600,,,
800,-62.2461142,1600,,,
801,-65.30591202,1600,,,
802,-21.99655546,320,,,
803,-81.80968604,1600,,,
804,-68.8846157,1600,,,
805,-13.05703164,236,,,
806,-69.68757802,1600,,,
807,-66.65511124,1600,,,
808,-74.07947989,1600,,,
809,-72.00670428,1600,,,
810,-67.58521449,1600,,,
811,-15.82760568,319,,,
812,-71.9082577,1600,,,
813,-73.28784862,1600,,,
814,-70.07617659,1600,,,
815,-68.91248966,1600,,,
816,-72.616761,1204,,,
817,-67.61283827,1600,,,
818,-79.21677913,1600,,,
819,-9.423802199,243,,,
820,-71.99057402,1600,,,
821,-79.78820643,1600,,,
822,-74.92906901,1600,,,
823,-73.91662535,1600,,,
824,-15.40947902,233,,,
825,-75.51587898,1600,,,
826,-70.09157555,1600,,,
827,-64.00316874,1600,,,
828,-15.51245108,240,,,
829,-75.54758603,1600,,,
830,-80.66864584,1600,,,
831,-71.85864948,1600,,,
832,-7.390018955,277,,,
833,-14.95234367,239,,,
834,-14.32106751,241,,,
835,-77.98812611,1600,,,
836,-68.77433718,1600,,,
837,-77.25236279,1600,,,
838,-78.83388486,1600,,,
839,-21.38649269,325,,,
840,-66.04952987,1600,,,
841,-14.62003499,235,,,
842,-78.69554458,1600,,,
843,-67.85374115,1432,,,
844,-66.31001986,1600,,,
845,-74.41610209,1600,,,
846,-73.59646155,1600,,,
847,-69.26775062,1600,,,
848,-14.50273012,235,,,
849,-63.11729767,1600,,,
850,-73.08923422,1600,,,
851,-14.12590795,239,,,
852,-73.32526774,1600,,,
853,-67.51564651,1600,,,
854,-13.56427556,245,,,
855,-79.44931884,1600,,,
856,-15.73399312,245,,,
857,-67.88406375,1600,,,
858,-24.03323871,326,,,
859,-63.86623167,1600,,,
860,-74.57978923,1600,,,
861,-14.50329478,236,,,
862,-13.802711,239,,,
863,-11.55877924,243,,,
864,-90.90699872,1600,,,
865,-70.91109508,1600,,,
866,-77.26575508,1600,,,
867,-69.40482449,1285,,,
868,-22.8491111,319,,,
869,-70.11502519,1600,,,
870,-71.42713203,1600,,,
871,-75.07082919,1600,,,
872,-75.66123525,1600,,,
873,-80.91847844,1600,,,
874,-71.49592424,1600,,,
875,-73.07036473,1600,,,
876,-70.61062974,1600,,,
877,-61.86598952,1600,,,
878,-68.39254606,1600,,,
879,-76.83759414,1600,,,
880,-75.09564571,1600,,,
881,-77.14471461,1600,,,
882,-71.16746775,1600,,,
883,-65.45302821,1600,,,
884,-64.30525248,1600,,,
885,-69.50030119,1600,,,
886,-69.90302149,1278,,,
887,-72.33674716,1600,,,
888,-12.83138737,299,,,
889,-13.07478762,236,,,
890,-16.44215387,319,,,
891,-13.81591289,239,,,
892,-73.99960408,1600,,,
893,-78.12797037,1600,,,
894,-64.19002665,1600,,,
895,-70.56052975,1600,,,
896,-75.79375349,1600,,,
897,-68.01674531,1600,,,
898,-69.01873402,1600,,,
899,-80.50796368,1600,,,
900,-67.19519837,1600,,,
901,-14.50223418,245,,,
902,-13.47552794,239,,,
903,-63.4664208,1600,,,
904,-66.7194826,1600,,,
905,-71.12191704,1600,,,
906,-66.87188009,1600,,,
907,-13.47544015,237,,,
908,-14.74609714,239,,,
909,-68.35121225,1600,,,
910,-74.83585134,1600,,,
911,-69.50812069,1600,,,
912,-15.50688636,232,,,
913,-14.05944595,236,,,
914,-73.57172404,1600,,,
915,-74.58777956,1600,,,
916,-66.03012112,1600,,,
917,-14.34924688,237,,,
918,-72.40162319,1600,,,
919,-70.35199135,1600,,,
920,-65.68713336,1600,,,
921,-75.16638841,1600,,,
922,-14.05774892,238,,,
923,-80.52952623,1600,,,
924,-69.38552338,1600,,,
925,-70.6891768,1600,,,
926,-14.46859746,240,,,
927,-68.05670026,1600,,,
928,-73.45032761,1600,,,
929,-74.42400321,1600,,,
930,-72.95700124,1600,,,
931,-37.80395876,645,,,
932,-15.42813813,240,,,
933,-76.527252,1600,,,
934,-72.38923532,1281,,,
935,-72.30293656,1600,,,
936,-10.40315704,239,,,
937,-83.47318892,1600,,,
938,-71.37052823,1600,,,
939,-69.86946006,1600,,,
940,-81.29619095,1600,,,
941,-80.29324463,1600,,,
942,-20.34289124,322,,,
