Episode,Reward,Episode Steps,Average Rollout Steps,Reward Std
498,25.89193857,192,226.78125,23.50968054
499,17.41295634,216,364.90625,36.96607335
500,85.26244958,517,348.90625,35.23060051
501,154.4565277,1014,418.53125,44.19638146
502,25.16987238,178,494.34375,42.62542105
503,133.1982655,725,465.71875,47.28910434
504,0.47053905,151,489.75,48.28890499
505,39.32015968,251,436.375,43.42283214
506,61.09067976,591,443.65625,35.60830384
507,50.83130739,293,494.75,50.81238989
508,63.42033536,433,444.625,34.92075783
509,156.9347731,1320,486.875,54.52163835
510,7.83283176,106,608.46875,60.41412824
511,134.814475,894,373.4375,31.87651818
512,68.55177355,568,485.375,53.89962143
513,130.4782642,1244,571.71875,56.48512826
514,227.73979,1473,437.28125,37.61458876
515,135.6365451,1066,453.625,34.354525
516,106.3424283,672,617.84375,61.20635307
517,33.10165859,212,561.21875,67.53468904
518,-16.39584299,363,679.9375,69.93410239
519,44.13744291,571,625.65625,54.73234703
520,73.20352561,937,758.9375,45.13714798
521,1.299248965,63,642.40625,56.42859326
522,157.5417113,1270,505.59375,45.45243041
523,5.763572049,268,570.78125,41.7643226
524,13.47512204,331,532,41.84927137
525,24.52330371,288,779.3125,54.77581075
526,198.4748812,1600,767.1875,62.13461434
527,23.46949908,333,812.5625,56.70074075
528,52.4546438,488,824.9375,58.63802878
529,129.0495795,1171,704.21875,46.93828126
530,62.7883233,571,948,58.9979367
531,49.34921237,556,649.75,51.00875949
532,159.0480002,1600,734.46875,55.62281469
533,197.7171876,1524,886.40625,53.85000904
534,69.35616754,774,882.75,55.80219597
535,190.9979293,1600,869.75,64.25425152
536,118.2384459,1000,589.3125,55.98432117
537,151.4663041,1106,738.96875,57.94600808
538,15.88791576,196,727.125,61.53391497
539,-3.576917894,102,765.34375,56.47952811
540,109.9687169,1142,906.8125,58.53067701
541,35.69139928,305,769.65625,63.11104122
542,97.71460257,1011,684.1875,52.16468367
543,156.8562217,1296,533.0625,45.81032326
544,69.58460758,728,850.875,56.92735297
545,43.25549884,331,830.78125,62.79249661
546,18.97362707,201,466.21875,47.47876768
547,11.74062177,175,550.03125,57.38859226
548,126.9912786,1010,928.4375,64.27046473
549,62.41971608,506,969.25,60.30564073
550,-12.48165574,65,852.65625,64.40693267
551,58.08883146,954,740.40625,64.4200274
552,135.9282733,1600,814.1875,70.35012464
553,149.6063009,1600,1124.78125,53.27111194
554,26.5389182,224,1082.0625,58.72794458
555,59.71377826,698,828,67.19659362
556,65.71566528,600,961.96875,70.95352558
557,72.92308478,1186,1020.25,58.89901599
558,36.6948517,395,821.90625,51.71316942
559,162.1722759,1387,984.4375,66.15975166
560,61.22534491,613,826.1875,58.22268368
561,182.0282102,1600,675.46875,52.78886229
562,43.98073069,653,926.90625,66.32118915
563,174.4254032,1600,1055.875,52.58789721
564,47.18909597,421,998.9375,61.34587723
565,43.28328566,525,1035.40625,57.33351681
566,27.4752327,551,875,51.03290122
567,91.88090294,1312,1081.90625,46.2366775
568,130.4007546,1056,1155,60.26623698
569,210.1873846,1600,821.0625,66.5013172
570,40.57511384,440,833.90625,56.43379214
